member_id,prioritization_score,rank
9862,0.27529535,1
7005,0.26636732,2
573,0.25564685,3
8756,0.24979967,4
847,0.2497096,5
4759,0.24895734,6
4386,0.24780995,7
1893,0.24772972,8
6686,0.24032137,9
2384,0.23837379,10
800,0.23741171,11
1488,0.23725563,12
7180,0.23468262,13
1753,0.23395303,14
8578,0.23347029,15
1716,0.23284042,16
7480,0.23270279,17
9599,0.23233539,18
1624,0.23178878,19
1270,0.229574,20
7068,0.22937092,21
2113,0.22923326,22
2559,0.22923326,23
6065,0.22923326,24
9507,0.22923326,25
5317,0.22843653,26
2158,0.22776696,27
2825,0.22610441,28
1392,0.22303322,29
4715,0.22224006,30
8559,0.22159684,31
980,0.22119668,32
5440,0.2206761,33
6602,0.22035283,34
22,0.22015148,35
746,0.2195561,36
1452,0.21865836,37
735,0.21845457,38
3927,0.21800274,39
3715,0.21800274,40
2935,0.21800274,41
282,0.21800274,42
2601,0.21800274,43
7404,0.21800274,44
4139,0.21800274,45
8670,0.21800274,46
5034,0.21800274,47
5259,0.21721041,48
91,0.21666914,49
7356,0.21603945,50
691,0.21589062,51
9940,0.2155379,52
1341,0.2154279,53
2126,0.21526688,54
7072,0.21473604,55
1035,0.21464676,56
4287,0.21464676,57
7835,0.2127164,58
4874,0.2127164,59
431,0.21231458,60
2195,0.21160418,61
584,0.21144938,62
8655,0.20970422,63
489,0.20921236,64
7306,0.20921236,65
3432,0.20921236,66
6091,0.20921236,67
3640,0.20921236,68
295,0.2087301,69
557,0.2087301,70
8917,0.2087301,71
6365,0.2087301,72
1314,0.20857787,73
85,0.20853686,74
7364,0.20831168,75
7373,0.20823401,76
3406,0.20751116,77
2057,0.2073622,78
5193,0.20732862,79
4153,0.2069996,80
8918,0.20663762,81
4378,0.20660114,82
2826,0.2048524,83
7095,0.2048524,84
2820,0.2043907,85
823,0.20422694,86
3023,0.20391285,87
8125,0.20380014,88
4053,0.20353943,89
9809,0.20353943,90
7720,0.20335871,91
5681,0.20324719,92
4886,0.20313191,93
4789,0.20313191,94
3185,0.20290041,95
1639,0.2025728,96
5267,0.20234394,97
9172,0.2021555,98
1176,0.20202589,99
5667,0.20190647,100
4808,0.20167294,101
9682,0.2015563,102
9813,0.20119101,103
6168,0.20112026,104
1587,0.20033467,105
3430,0.20033467,106
4451,0.19974723,107
5075,0.19944173,108
7107,0.19937882,109
4933,0.19936317,110
1264,0.19936317,111
1304,0.19927919,112
3394,0.19856858,113
1958,0.19765812,114
6852,0.197608,115
9010,0.19655141,116
9655,0.1959889,117
8151,0.1959889,118
8836,0.1959889,119
6675,0.1959889,120
7219,0.1959889,121
2588,0.1959889,122
4373,0.1959889,123
3359,0.19590494,124
6113,0.19585472,125
7488,0.19585472,126
6613,0.19524363,127
6594,0.19524363,128
8500,0.19519657,129
2848,0.19519657,130
9754,0.19505495,131
7735,0.1949892,132
1095,0.19480062,133
7162,0.19459465,134
8261,0.19433302,135
3711,0.19433302,136
2847,0.19417152,137
1456,0.1936732,138
4912,0.19342494,139
1377,0.19330472,140
615,0.19317338,141
3093,0.1928812,142
1380,0.192841,143
4602,0.19244656,144
1208,0.19232988,145
8215,0.19211763,146
1086,0.19211763,147
706,0.19211763,148
9071,0.19211763,149
532,0.1921131,150
9162,0.19208401,151
9055,0.19208401,152
3061,0.19208401,153
4477,0.19208401,154
1152,0.19192827,155
3326,0.19132423,156
9944,0.19106758,157
8857,0.19106758,158
3422,0.19106758,159
9579,0.19106758,160
5468,0.19045636,161
6367,0.19045636,162
8414,0.19045636,163
4669,0.19031596,164
3379,0.19031596,165
4634,0.19031596,166
5738,0.19031596,167
204,0.19031596,168
1213,0.19013292,169
8634,0.18997002,170
1383,0.18886727,171
9130,0.18886727,172
4150,0.18884286,173
1370,0.18881068,174
7191,0.18861493,175
9398,0.18846965,176
8547,0.18846965,177
6770,0.18846965,178
1496,0.18844917,179
9835,0.188411,180
8673,0.18818706,181
6655,0.18818706,182
3511,0.18818706,183
592,0.18814725,184
5578,0.18814725,185
6581,0.18814725,186
6527,0.1879111,187
8580,0.18787646,188
430,0.18783498,189
8992,0.18758735,190
6336,0.18744075,191
2528,0.18738785,192
6985,0.18659726,193
7440,0.18631715,194
238,0.18610263,195
5450,0.18568403,196
3287,0.18565553,197
2699,0.18563187,198
8783,0.18527699,199
5395,0.18500584,200
193,0.18500584,201
9568,0.18500584,202
2044,0.18500584,203
7243,0.18500584,204
937,0.18500584,205
8019,0.18500584,206
500,0.18500584,207
6501,0.18500584,208
2779,0.18500584,209
5163,0.18500584,210
